Wine and Vintage,Vintage,Price per Bottle (ZAR),RATING,Category,Second Category
Omstaan Rooi Muskadel XO (Orange River) (500ml),NA,102,"95/100, PG 2023",Dessert Wine - Fortified,Dessert
Overgaauw Cape Vintage 1998 (Port),1998,490,"95/100, PG 2023","Port, Sherry",Fortified 
Boplaas Colheita Cape Tawny 2007 (Port),2007,750,"Best in Class, NWC 2023","Port, Sherry",Fortified 
Boschendal Jean Le Long Prestige Cuvée Blanc de Blancs 2012 (MCC),2012,1100,"Gold, GWC 2023",MCC,Sparkling
Bon Courage Jacques Bruére Blanc de Blancs 2012 (MCC),2012,245,"D Gold, VA 2023",MCC,Sparkling
Eikendal Cabernet Sauvignon 2013,2013,500,"97/100, TWS 2023",Cabernet Sauvignon,Red
Bosman Optenhorst Chenin Blanc 2013,2013,415,"97/100, TWS 2023",Chenin Blanc,White
Le Lude Agrafé Brut Reserve 2013 (MCC),2013,1200,"96/100, PG 2023",MCC,Sparkling
Weltevrede Philip Jonker The Ring Brut 2013 (MCC),2013,276,"D Gold, CCC 2023",MCC,Sparkling
Spier Brut RD 2013 (MCC),2013,395,"95/100, PG 2023",MCC,Sparkling
Bon Courage Jacques Bruére Brut Reserve 2014 (MCC),2014,245,"Top 100, NWC 2023",MCC,Sparkling
Waterford Cabernet Sauvignon 2015,2015,356,"D Gold, GWC 2023",Cabernet Sauvignon,Red
Moveable Feast (Bruce Jack) 2015 (Red Blend),2015,180,"93/100, TWS 2023",Red Blends,Red Blends
Waterford Jem 2015 (Red Blend),2015,2000,"94/100, G&G 2023",Red Blends,Red Blends
Quoin Rock Black Series Cap Classique 2015 (MCC),2015,1200,"96/100, DWA 2023",MCC,Sparkling
Desiderius Pongrácz (Heineken) 2015 (MCC),2015,550,"D Gold, CCC 2023",MCC,Sparkling
Neil Ellis Jonkershoek Cabernet Sauvignon 2016,2016,520,"94/100, IWSC 2023",Cabernet Sauvignon,Red
Bloemendal Semillon 2016,2016,210,"97/100, TWS 2023",Semillon,White
Bloemendal Tyger Syrah 2016,2016,255,"96/100, TWS 2023",Shiraz / Syrah,Red
Villiera Monro Brut 2016 (MCC),2016,381,"D Gold, VA 2023",MCC,Sparkling
Boschendal Grande Cuvée Brut 2016 (MCC),2016,400,"Gold, MV 2023",MCC,Sparkling
Newstead Brut Blanc de Blanc 2016 (MCC),2016,450,"Best in Class, CCC 2023",MCC,Sparkling
Joubert-Tradauw Cabernet Franc Reserve 2017,2017,490,"Gold, CFC 2023",Cabernet Franc,Red
Leeu Passant Radicales Libres 2017 (Chardonnay),2017,850,"95/100, PG 2023",Chardonnay,White
Fleur du Cap Unfiltered Merlot (Heineken) 2017,2017,205,"Gold, CM 2023",Merlot,Red
Kanonkop Pinotage 2017,2017,450,"Top 10, T10P 2023",Pinotage,Red
